Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
RMCF0805JT220RCT-ND,STACKPOLE ELECTRONICS INC (VA),RMCF0805JT220R,,3,0,0,9 Weeks,RES 220 OHM 1/8W 5% 0805,,RoHS Compliant,Lead free,Unaffected Jun-2014
568-4510-1-ND,NXP SEMICONDUCTORS (VA),"MMBT3904,215",,3,0,0,14 Weeks,TRANS NPN 40V 200MA SOT23,,RoHS Compliant,Lead free,Unaffected Jul-2011
ATMEGA328P-AU-ND,ATMEL,ATMEGA328P-AU,,1,0,0,7 Weeks,IC MCU 8BIT 32KB FLASH 32TQFP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2013
887-2011-ND,TXC CORPORATION,9B-12.000MBBK-B,,1,0,0,12 Weeks,CRYSTAL 12MHZ 20PF THRU,,RoHS Compliant,Lead free,Not Available
1276-1187-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL10C200JB8NNNC,,2,0,0,10 Weeks,CAP CER 20PF 50V 5% NP0 0603,,RoHS Compliant,Lead free,Unaffected Jun-2014
1276-3375-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL32A227MQVNNNE,,1,0,0,10 Weeks,CAP CER 220UF 6.3V 20% X5R 1210,,RoHS Compliant,Lead free,Unaffected Jun-2014
SST25VF020B-80-4I-SAE-ND,MICROCHIP TECHNOLOGY,SST25VF020B-80-4I-SAE,,2,0,0,5 Weeks,IC FLASH 2MBIT 80MHZ 8SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2013
952-1383-ND,HARWIN INC,M50-3500542,,1,0,0,8 Weeks,CONN HDR 1.27MM VERT AU 10POS,,RoHS Compliant,Lead free,Unaffected Jun-2014
S1012EC-07-ND,SULLINS CONNECTOR SOLUTIONS (VA),PREC007SAAN-RC,,1,0,0,,CONN HEADER .100 SNGL STR 7POS,No delivery date available,RoHS Compliant,Lead free,Unaffected Dec-2013
475-1409-1-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LG Q971-KN-1,,1,0,0,,LED CHIPLED 570NM GREEN 0603 SMD,VA discontinued-please contact Digi-Key,RoHS Compliant,Lead free,Unaffected Dec-2013
475-2512-1-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LS Q976-NR-1,,1,0,0,8-10 Weeks,LED CHIPLED 633NM RED 0603 SMD,,RoHS Compliant,Lead free,Unaffected Dec-2013
475-2815-1-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LB Q39E-N1P1-35-1,,1,0,0,8-10 Weeks,LED CHIPLED BLUE 470NM 0603 SMD,,RoHS Compliant,Lead free,Unaffected Dec-2013
